Pondělí,3.10.,Bohumil,Dorůstá
Úterý,4.10.,František,Dorůstá
Středa,5.10.,Eliška,Dorůstá
Čtvrtek,6.10.,Hanuš,Dorůstá
Pátek,7.10.,Justýna,Dorůstá
Sobota,8.10.,Věra,Dorůstá
Neděle,9.10.,Štefan a Sára,Úplněk
Pondělí,10.10.,Marina,Ubývá
Úterý,11.10.,Andrej,Ubývá
Středa,12.10.,Marcel,Ubývá
Čtvrtek,13.10.,Renáta,Ubývá
Pátek,14.10.,Agáta,Ubývá
Sobota,15.10.,Tereza,Ubývá
Neděle,16.10.,Havel,Ubývá
Pondělí,17.10.,Hedvika,Ubývá
Úterý,18.10.,Lukáš,Ubývá
Středa,19.10.,Michaela,Ubývá
Čtvrtek,20.10.,Vendelín,Ubývá
Pátek,21.10.,Brigita,Ubývá
Sobota,22.10.,Sabina,Ubývá
Neděle,23.10.,Teodor,Ubývá
Pondělí,24.10.,Nina,Ubývá
Úterý,25.10.,Beáta,NOV
Středa,26.10.,Erik,Dorůstá
Čtvrtek,27.10.,Šarlota a Zoe,Dorůstá
Pátek,28.10.,Den vzniku samostatného československého státu (1918),Dorůstá
Sobota,29.10.,Silvie,Dorůstá
Neděle,30.10.,Tadeáš,Dorůstá
Pondělí,31.10.,Štěpánka,Dorůstá
Úterý,1.11.,Felix,Dorůstá
Středa,2.11.,Památka zesnulých,Dorůstá
Čtvrtek,3.11.,Hubert,Dorůstá
Pátek,4.11.,Karel,Dorůstá
Sobota,5.11.,Miriam,Dorůstá
Neděle,6.11.,Liběna,Dorůstá
Pondělí,7.11.,Saskie,Dorůstá
Úterý,8.11.,Bohumír,Úplněk
Středa,9.11.,Bohdan,Ubývá
Čtvrtek,10.11.,Evžen,Ubývá
Pátek,11.11.,Martin,Ubývá
Sobota,12.11.,Benedikt,Ubývá
Neděle,13.11.,Tibor,Ubývá
Pondělí,14.11.,Sáva,Ubývá
Úterý,15.11.,Leopold,Ubývá
Středa,16.11.,Otmar,Ubývá
Čtvrtek,17.11.,Mahulena,Ubývá
Čtvrtek,17.11.,Den boje studentů za svobodu a demokracii (1989),Ubývá
Pátek,18.11.,Romana,Ubývá
Sobota,19.11.,Alžběta,Ubývá
Neděle,20.11.,Nikola,Ubývá
Pondělí,21.11.,Albert,Ubývá
Úterý,22.11.,Cecílie,Ubývá
Středa,23.11.,Klement,NOV
Čtvrtek,24.11.,Emílie,Dorůstá
Pátek,25.11.,Kateřina,Dorůstá
Sobota,26.11.,Artur,Dorůstá
Neděle,27.11.,Xenie,Dorůstá
Pondělí,28.11.,René,Dorůstá
Úterý,29.11.,Zina,Dorůstá
Středa,30.11.,Ondřej,Dorůstá
Čtvrtek,1.12.,Iva,Dorůstá
Pátek,2.12.,Blanka,Dorůstá
Sobota,3.12.,Svatoslav,Dorůstá
Neděle,4.12.,Barbora,Dorůstá
Pondělí,5.12.,Jitka,Dorůstá
Úterý,6.12.,Mikuláš,Dorůstá
Středa,7.12.,Ambrož a Benjamín,Dorůstá
Čtvrtek,8.12.,Květoslava,Úplněk
Pátek,9.12.,Vratislav,Ubývá
Sobota,10.12.,Julie,Ubývá
Neděle,11.12.,Dana,Ubývá
Pondělí,12.12.,Simona,Ubývá
Úterý,13.12.,Lucie,Ubývá
Středa,14.12.,Lýdie,Ubývá
Čtvrtek,15.12.,Radana,Ubývá
Pátek,16.12.,Albína,Ubývá
Sobota,17.12.,Daniel,Ubývá
Neděle,18.12.,Miloslav,Ubývá
Pondělí,19.12.,Ester,Ubývá
Úterý,20.12.,Dagmar,Ubývá
Středa,21.12.,Natálie,Ubývá
